ds,yhat,yhat_lower,yhat_upper
2010-12-01,43966.8041803085,30656.641064412008,56891.30144715413
2010-12-02,50864.149657719056,38333.37317350718,64048.92271115811
2010-12-03,38798.77629744104,26416.01686466515,52403.52068322584
2010-12-05,26348.582418334707,14035.282838955409,39432.681307829924
2010-12-06,37947.128387543096,25821.07152776345,51677.641334847496
2010-12-07,39553.86689261485,26976.470817446065,52593.06427418432
2010-12-08,36767.430035974765,24548.53171022664,49005.944776648976
2010-12-09,42988.43564949254,30026.94789823001,55814.24390045724
2010-12-10,30293.906686392213,17249.506609338558,42760.018181606916
2010-12-12,16784.46237077212,3111.467973427707,29526.91737152905
2010-12-13,27979.849103553177,15942.786252799968,41374.51273068786
2010-12-14,29283.72143615134,15209.480811718526,43473.824072101146
2010-12-15,26304.679392530168,13507.306938441801,39183.54041092312
2010-12-16,32451.307270828365,20053.315137195463,45982.40014152777
2010-12-17,19806.32074764298,7061.325375202499,33183.801559158535
2010-12-19,6777.864646474409,-6213.221248942765,18543.974528196723
2010-12-20,18403.039255430493,4809.340034726852,31555.362141301317
2010-12-21,20257.18331371491,6313.387030596102,31748.27951530098
2010-12-22,17941.190654426187,5788.06012229855,31160.58466585038
2010-12-23,24853.32791380074,12622.455323266624,38218.81090007376
2011-01-04,21027.95881300711,8110.334079346665,34883.11019633141
2011-01-05,20296.946873689503,8257.404363070826,33167.339124937906
2011-01-06,28646.952352042634,16147.951767291841,41109.07277859391
2011-01-07,18122.06914639607,3889.5590458779725,31201.11287293258
2011-01-09,8938.820298725885,-4215.1670329401095,21845.702841356182
2011-01-10,22223.657116701223,8147.4324469286275,34268.528108390485
2011-01-11,25524.82238850119,13465.129163626296,38785.605727226015
2011-01-12,24420.900409615962,11802.626429116233,38431.74437926543
2011-01-13,32293.053908921167,18917.385585511474,44519.259606042775
2011-01-14,21199.753907857503,8094.875363548873,34112.86938982583
2011-01-16,10675.063296702203,-2112.4186023589277,23151.02865269834
